weighted_sum,V,V_ideal,Error
12,148.35594594478607,42.1517014503479,41.0269170999527
13,148.449644446373,45.66434323787689,44.445860385894775
14,148.52814376354218,49.176985025405884,47.88000285625458
15,148.63786101341248,52.689626812934875,51.28292739391327
16,148.72324466705322,56.20226860046387,54.710185527801514
17,148.8092690706253,59.71491038799286,58.13680291175842
18,148.87918531894684,63.22755217552185,61.57952845096588
19,148.97654950618744,66.74019396305084,64.99480605125427
20,149.0683555603027,70.25283575057983,68.415641784668
21,149.15177226066592,73.76547753810883,71.84486687183377
22,149.24468100070956,77.27811932563782,75.26459991931912
23,149.33769404888156,80.79076111316681,78.68422865867612
24,149.4269371032715,84.3034029006958,82.10762739181516
25,149.50601756572726,87.81604468822479,85.5411887168884
26,149.5950371026993,91.32868647575378,88.96481096744535
11,148.2631415128708,38.63905966281891,37.60707974433899
12,148.3725756406784,42.1517014503479,41.010287404060364
13,148.45134317874908,45.66434323787689,44.44416165351868
14,148.5280990600586,49.176985025405884,47.88004755973816
15,148.64051342010498,52.689626812934875,51.280274987220764
16,148.72874319553375,56.20226860046387,54.704686999320984
17,148.8259583711624,59.71491038799286,58.12011361122134
18,148.88979494571686,63.22755217552185,61.56891882419586
19,148.97416532039642,66.74019396305084,64.99719023704529
20,149.07358586788175,70.25283575057983,68.41041147708896
21,149.15020763874057,73.76547753810883,71.84643149375913
22,149.23946559429172,77.27811932563782,75.26981532573697
23,149.32146668434146,80.79076111316681,78.70045602321622
24,149.4117230176926,84.3034029006958,82.12284147739408
25,149.50537681579593,87.81604468822479,85.54182946681973
26,149.59053695201877,91.32868647575378,88.96931111812589
27,149.67177808284762,94.84132826328278,92.40071177482602
12,148.37490022182465,42.1517014503479,41.00796282291412
13,148.45137298107147,45.66434323787689,44.44413185119629
14,148.529052734375,49.176985025405884,47.87909388542175
15,148.63598346710205,52.689626812934875,51.284804940223694
16,148.73075485229492,56.20226860046387,54.702675342559814
17,148.81035685539246,59.71491038799286,58.13571512699127
18,148.91786873340607,63.22755217552185,61.54084503650665
19,148.97295832633972,66.74019396305084,64.99839723110199
20,149.06606078147888,70.25283575057983,68.41793656349182
21,149.16086196899414,73.76547753810883,71.83577716350555
22,149.25341308116916,77.27811932563782,75.25586783885953
23,149.32999014854434,80.79076111316681,78.69193255901334
24,149.42412078380588,84.3034029006958,82.1104437112808
25,149.50597286224368,87.81604468822479,85.54123342037198
26,149.60317313671115,91.32868647575378,88.9566749334335
27,149.68019723892215,94.84132826328278,92.3922926187515
28,149.77386593818667,98.35397005081177,95.81126570701596
13,148.45356345176697,45.66434323787689,44.44194138050079
14,148.52862060070038,49.176985025405884,47.879526019096375
15,148.6508697271347,52.689626812934875,51.26991868019104
16,148.730531334877,56.20226860046387,54.70289885997772
17,148.81102740764618,59.71491038799286,58.13504457473755
18,148.88735115528107,63.22755217552185,61.57136261463165
19,148.98842573165894,66.74019396305084,64.98292982578278
20,149.07585084438324,70.25283575057983,68.40814650058746
21,149.1554230451584,73.76547753810883,71.84121608734131
22,149.23313260078433,77.27811932563782,75.27614831924436
23,149.35557544231418,80.79076111316681,78.6663472652435
24,149.43654835224154,84.3034029006958,82.09801614284513
