Decimal_OP1,Decimal_OP2,Decimal_OPT,SC_OP1,SC_OP2,SC_OPT,Error
5,6,30,[0 0 0 1 0 0 0 1],[0 0 0 1 0 0 1 1],6.25,0.2734375
5,7,35,[0 0 0 1 0 0 0 1],[0 0 0 1 0 1 1 1],6.25,0.25390625
5,8,40,[0 0 0 1 0 0 0 1],[0 0 1 1 0 0 0 0],5.0,0.15625
5,9,45,[0 0 0 1 0 0 0 1],[0 0 1 1 0 0 0 1],6.25,0.21484375
5,10,50,[0 0 0 1 0 0 0 1],[0 0 1 1 0 0 1 1],6.25,0.1953125
5,11,55,[0 0 0 1 0 0 0 1],[0 0 1 1 0 1 1 1],6.25,0.17578125
5,12,60,[0 0 0 1 0 0 0 1],[0 1 1 1 0 0 0 0],5.0,0.078125
5,13,65,[0 0 0 1 0 0 0 1],[0 1 1 1 0 0 0 1],6.25,0.13671875
5,14,70,[0 0 0 1 0 0 0 1],[0 1 1 1 0 0 1 1],6.25,0.1171875
5,15,75,[0 0 0 1 0 0 0 1],[0 1 1 1 0 1 1 1],6.25,0.09765625
6,0,0,[0 0 0 1 0 0 1 1],[0 0 0 0 0 0 0 0],0.0,0.0
6,1,6,[0 0 0 1 0 0 1 1],[0 0 0 0 0 0 0 1],1.25,0.0546875
6,2,12,[0 0 0 1 0 0 1 1],[0 0 0 0 0 0 1 1],1.5,0.046875
6,3,18,[0 0 0 1 0 0 1 1],[0 0 0 0 0 1 1 1],1.5,0.0234375
6,4,24,[0 0 0 1 0 0 1 1],[0 0 0 1 0 0 0 0],5.0,0.21875
6,5,30,[0 0 0 1 0 0 1 1],[0 0 0 1 0 0 0 1],6.25,0.2734375
6,6,36,[0 0 0 1 0 0 1 1],[0 0 0 1 0 0 1 1],6.5,0.265625
6,7,42,[0 0 0 1 0 0 1 1],[0 0 0 1 0 1 1 1],6.5,0.2421875
6,8,48,[0 0 0 1 0 0 1 1],[0 0 1 1 0 0 0 0],6.0,0.1875
6,9,54,[0 0 0 1 0 0 1 1],[0 0 1 1 0 0 0 1],7.25,0.2421875
6,10,60,[0 0 0 1 0 0 1 1],[0 0 1 1 0 0 1 1],7.5,0.234375
6,11,66,[0 0 0 1 0 0 1 1],[0 0 1 1 0 1 1 1],7.5,0.2109375
6,12,72,[0 0 0 1 0 0 1 1],[0 1 1 1 0 0 0 0],6.0,0.09375
6,13,78,[0 0 0 1 0 0 1 1],[0 1 1 1 0 0 0 1],7.25,0.1484375
6,14,84,[0 0 0 1 0 0 1 1],[0 1 1 1 0 0 1 1],7.5,0.140625
6,15,90,[0 0 0 1 0 0 1 1],[0 1 1 1 0 1 1 1],7.5,0.1171875
7,0,0,[0 0 0 1 0 1 1 1],[0 0 0 0 0 0 0 0],0.0,0.0
7,1,7,[0 0 0 1 0 1 1 1],[0 0 0 0 0 0 0 1],1.25,0.05078125
7,2,14,[0 0 0 1 0 1 1 1],[0 0 0 0 0 0 1 1],1.5,0.0390625
7,3,21,[0 0 0 1 0 1 1 1],[0 0 0 0 0 1 1 1],1.75,0.02734375
7,4,28,[0 0 0 1 0 1 1 1],[0 0 0 1 0 0 0 0],5.0,0.203125
7,5,35,[0 0 0 1 0 1 1 1],[0 0 0 1 0 0 0 1],6.25,0.25390625
7,6,42,[0 0 0 1 0 1 1 1],[0 0 0 1 0 0 1 1],6.5,0.2421875
7,7,49,[0 0 0 1 0 1 1 1],[0 0 0 1 0 1 1 1],6.75,0.23046875
7,8,56,[0 0 0 1 0 1 1 1],[0 0 1 1 0 0 0 0],6.0,0.15625
7,9,63,[0 0 0 1 0 1 1 1],[0 0 1 1 0 0 0 1],7.25,0.20703125
7,10,70,[0 0 0 1 0 1 1 1],[0 0 1 1 0 0 1 1],7.5,0.1953125
7,11,77,[0 0 0 1 0 1 1 1],[0 0 1 1 0 1 1 1],7.75,0.18359375
7,12,84,[0 0 0 1 0 1 1 1],[0 1 1 1 0 0 0 0],7.0,0.109375
7,13,91,[0 0 0 1 0 1 1 1],[0 1 1 1 0 0 0 1],8.25,0.16015625
7,14,98,[0 0 0 1 0 1 1 1],[0 1 1 1 0 0 1 1],8.5,0.1484375
7,15,105,[0 0 0 1 0 1 1 1],[0 1 1 1 0 1 1 1],8.75,0.13671875
