concat,weighted_sum,V
0 10 4,14,203.6214023828507
0 10 5,15,205.24621009826663
0 10 6,16,206.87170326709756
0 10 7,17,208.60561728477484
0 10 8,18,210.3352993726731
0 10 9,19,212.09505200386056
0 10 10,20,213.8849049806596
0 10 11,21,215.76133370399484
0 10 12,22,217.61399507522592
0 10 13,23,219.5134907960893
0 10 14,24,221.49254381656652
0 10 15,25,223.43818843364724
0 10 16,26,225.47020018100747
0 11 0,11,198.9320665597916
0 11 1,12,200.4807740449906
0 11 2,13,202.01604068279272
0 11 3,14,203.6555558
0 11 4,15,205.2470892667771
0 11 5,16,206.90023899078372
0 11 6,17,208.5875272750855
0 11 7,18,210.3412449359895
0 11 8,19,212.12708950042733
0 11 9,20,213.9048874378205
0 11 10,21,215.74622392654427
0 11 11,22,217.6359295845033
0 11 12,23,219.54141557216653
0 11 13,24,221.48463129997265
0 11 14,25,223.4564572572709
0 11 15,26,225.493148
0 11 16,27,227.54980623722085
0 12 0,12,200.45694708824163
0 12 1,13,202.01037824153903
0 12 2,14,203.62322032451635
0 12 3,15,205.27966320514685
0 12 4,16,206.89949393272408
0 12 5,17,208.58374238014227
0 12 6,18,210.3282958
0 12 7,19,212.1058553457261
0 12 8,20,213.9158844947816
0 12 9,21,215.76757729053503
0 12 10,22,217.6472395658494
0 12 11,23,219.5548266
0 12 12,24,221.5026319026948
0 12 13,25,223.51251542568212
0 12 14,26,225.50749778747567
0 12 15,27,227.57333517074596
0 12 16,28,229.6706140041352
0 13 0,13,201.993614435196
0 13 1,14,203.59554886817935
0 13 2,15,205.2548378705979
0 13 3,16,206.90976083278665
0 13 4,17,208.5898667573929
0 13 5,18,210.33176779747015
0 13 6,19,212.1213376522065
0 13 7,20,213.92956376075756
0 13 8,21,215.7776206731797
0 13 9,22,217.65914559364327
0 13 10,23,219.56969797611245
0 13 11,24,221.53027355670935
0 13 12,25,223.5169708728791
0 13 13,26,225.52719712257397
0 13 14,27,227.590560913086
0 13 15,28,229.68339920043957
0 13 16,29,231.8032830953599
0 14 0,14,203.6326527595521
