concat,weighted_sum,V,Recovered_Binary,Recovered_Value,V_ideal,Ideal_Digital,Error
0 5 2,7,0.6607323884963989,00000000,0,72.58851677179337,44,44
0 5 3,8,0.7512569427490234,00000000,0,82.95830488204956,51,51
0 5 4,9,0.8407831192016602,00000000,0,93.32809299230576,57,57
0 5 5,10,0.9370148181915283,00000000,0,103.69788110256195,63,63
0 5 6,11,1.0312646627426147,00000000,0,114.06766921281816,70,70
0 5 7,12,1.1382251977920532,00000000,0,124.43745732307434,76,76
0 5 8,13,1.216307282447815,00000000,0,134.80724543333054,82,82
0 5 9,14,1.2969374656677246,00000000,0,145.17703354358673,89,89
0 5 10,15,1.3905465602874756,00000000,0,155.54682165384293,95,95
0 5 11,16,1.480892300605774,00000000,0,165.91660976409912,102,102
0 5 12,17,1.565694808959961,00000000,0,176.28639787435532,108,108
0 5 13,18,1.667127013206482,00000001,1,186.6561859846115,114,113
0 5 14,19,1.7538666725158691,00000001,1,197.0259740948677,121,120
0 5 15,20,1.839131116867037,00000001,1,207.3957622051239,127,126
0 5 16,21,1.9194930791855143,00000001,1,217.7655503153801,133,132
0 6 0,6,0.576898455619812,00000000,0,62.21872866153717,38,38
0 6 1,7,0.651821494102478,00000000,0,72.58851677179337,44,44
0 6 2,8,0.7513910531997681,00000000,0,82.95830488204956,51,51
0 6 3,9,0.8397698402404785,00000000,0,93.32809299230576,57,57
0 6 4,10,0.9339898824691772,00000000,0,103.69788110256195,63,63
0 6 5,11,1.032516360282898,00000000,0,114.06766921281816,70,70
0 6 6,12,1.1394321918487549,00000000,0,124.43745732307434,76,76
0 6 7,13,1.2185871601104736,00000000,0,134.80724543333054,82,82
0 6 8,14,1.2964606285095215,00000000,0,145.17703354358673,89,89
0 6 9,15,1.4078021049499512,00000000,0,155.54682165384293,95,95
0 6 10,16,1.4670640230178833,00000000,0,165.91660976409912,102,102
0 6 11,17,1.5928149223327637,00000000,0,176.28639787435532,108,108
0 6 12,18,1.6610026359558105,00000001,1,186.6561859846115,114,113
0 6 13,19,1.7457455396652222,00000001,1,197.0259740948677,121,120
0 6 14,20,1.8388479948043823,00000001,1,207.3957622051239,127,126
0 6 15,21,1.9536167383194254,00000001,1,217.7655503153801,133,132
0 6 16,22,2.019196748733549,00000001,1,228.13533842563632,140,139
